Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",2103547363,133078482,1,1,1,1024,1,1,37,304,6352,133.078482,170,270,,,,,
"test(int, int, int)",2103547523,140253657,1,1,1,1024,1,1,37,304,6352,140.253657,171,251,,,,,
"test(int, int, int)",2103548323,125034697,1,1,1,1024,1,1,37,304,6352,125.034697,172,266,,,,,
"test(int, int, int)",2103548323,136501659,1,1,1,1024,1,1,37,304,6352,136.501659,173,274,,,,,
"test(int, int, int)",2103548451,127156192,1,1,1,1024,1,1,37,304,6352,127.156192,174,263,,,,,
"test(int, int, int)",2103548579,137153637,1,1,1,1024,1,1,37,304,6352,137.153637,175,254,,,,,
"test(int, int, int)",2103548675,139918213,1,1,1,1024,1,1,37,304,6352,139.918213,176,269,,,,,
"test(int, int, int)",2103548835,128120030,1,1,1,1024,1,1,37,304,6352,128.12003,177,261,,,,,
"test(int, int, int)",2103548931,137208131,1,1,1,1024,1,1,37,304,6352,137.208131,178,312,,,,,
"test(int, int, int)",2103549027,149260448,1,1,1,1024,1,1,37,304,6352,149.260448,179,299,,,,,
"test(int, int, int)",2103549155,140359477,1,1,1,1024,1,1,37,304,6352,140.359477,180,312,,,,,
"test(int, int, int)",2103549283,142496875,1,1,1,1024,1,1,37,304,6352,142.496875,181,309,,,,,
"test(int, int, int)",2253115993,140601581,1,1,1,1024,1,1,37,304,6352,140.601581,182,298,,,,,
"test(int, int, int)",2253116025,127788906,1,1,1,1024,1,1,37,304,6352,127.788906,183,299,,,,,
"test(int, int, int)",2253116121,139816552,1,1,1,1024,1,1,37,304,6352,139.816552,184,305,,,,,
"test(int, int, int)",2253117112,136746356,1,1,1,1024,1,1,37,304,6352,136.746356,185,313,,,,,
"test(int, int, int)",2253117112,125539065,1,1,1,1024,1,1,37,304,6352,125.539065,186,302,,,,,
"test(int, int, int)",2253117272,128549424,1,1,1,1024,1,1,37,304,6352,128.549424,187,283,,,,,
"test(int, int, int)",2253117368,125444508,1,1,1,1024,1,1,37,304,6352,125.444508,188,319,,,,,
"test(int, int, int)",2253117496,127820394,1,1,1,1024,1,1,37,304,6352,127.820394,189,296,,,,,
"test(int, int, int)",2253117592,137695315,1,1,1,1024,1,1,37,304,6352,137.695315,190,306,,,,,
"test(int, int, int)",2253117752,143263345,1,1,1,1024,1,1,37,304,6352,143.263345,191,499,,,,,
